;teks;label
0;['sangat', 'muas', 'jalan', 'jogja'];1
1;['kamar', 'nyaman', 'unik', 'suka'];1
2;['hotel', 'rekomendasi', 'banget', 'deh', 'pokok', 'layan', 'bagus', 'cepat', 'asyik', 'buat', 'sudah', 'pasang', 'suami', 'istri'];1
3;['sangat', 'senang', 'lokasi', 'dekat', 'bagai', 'fasilitas', 'umum', 'destinasi', 'wisata', 'jogja', 'sangat', 'bantu', 'libur', 'sini'];1
4;['layan', 'baik', 'mudah', 'akses'];1
5;['lokasi', 'strategis', 'bantal', 'banyak', 'wifi', 'lumayan'];1
6;['biasa', 'kamar', 'oke', 'nyaman', 'recommended', 'buat', 'traveler', 'budget', 'banyak', 'dapat', 'kamar', 'bagus', 'akses', 'mudah', 'tengah', 'kota'];1
7;['sangat', 'timpal', 'jauh', 'jalan', 'utama', 'tidak', 'susah', 'cari', 'makan', 'apa', 'ada', 'panjang', 'jalan', 'hotel'];1
8;['sempurna', 'teh', 'gratis', 'jam', 'restaurant', 'atap', 'tugas', 'bantu', 'sangat', 'ramah', 'baik'];1
9;['recommended', 'kamar', 'bersih', 'mostly', 'ada', 'asap', 'rokok', 'semua', 'kamar', 'lobby', 'koridor', 'kamar', 'bebas', 'asap', 'rokok', 'vape'];1
10;['layan', 'bagus', 'letak', 'hotel', 'dekat', 'mana', 'mana', 'kamar', 'bersih', 'bau'];1
11;['makan', 'suka', 'enak', 'tempat', 'nyaman'];1
12;['hotel', 'bersih', 'nyaman', 'oke', 'sarap', 'pagi', 'oke'];1
13;['senang', 'jadi', 'langgan', 'kalau', 'libur', 'jogja', 'selalu', 'pakai', 'yellow', 'star', 'kamar', 'bagus', 'bersih', 'kamar', 'mandi', 'bersih', 'cocok', 'lah', 'pokok', 'harga', 'murah', 'fasilitas', 'bagus', 'layan', 'oke'];1
14;['kamar', 'bersih', 'sangat', 'mirip', 'foto', 'lokasi', 'sangat', 'strategis', 'harga', 'jangkau', 'tentu', 'kalo', 'ke', 'jogja', 'akan', 'nginap', 'di', 'yellow', 'star', 'hotel', 'gejayan'];1
15;['kamar', 'hotel', 'bersih', 'layan', 'ramah', 'lokasi', 'cukup', 'strategis', 'dekat', 'pusat', 'kota', 'recommended', 'jalan', 'bisnis'];1
16;['kamar', 'sesuai', 'picture', 'layan', 'yang', 'sangat', 'ramah', 'cepat', 'bagi', 'ini', 'sangat', 'jangkau', 'terima', 'kasih', 'yellow'];1
17;['bersih', 'dekat', 'mini', 'market', 'kafe', 'lain'];1
18;['kamar', 'nyaman', 'bersih', 'cocok', 'buat', 'istirahat', 'santai', 'sore', 'atap', 'enak'];1
19;['tempat', 'nyaman', 'layan', 'bagus', 'sarap', 'oke', 'ada', 'jalan', 'ramai', 'akses', 'gampang'];1
20;['bersih', 'makan', 'enak', 'enak', 'banyak', 'macam', 'sarap', 'maupun', 'ala', 'carte', 'enak', 'semua'];1
21;['terima', 'kasih', 'beri', 'kejut', 'ulang', 'tahun'];1
22;['puas', 'satu', 'kata', 'gambar', 'alam', 'ketika', 'inap', 'yellow', 'star', 'gejayan', 'lepas', 'beberapa', 'perlu', 'baik', 'gorden', 'kamar', 'mandi', 'sedikit', 'rusak', 'gambar', 'televisi', 'kurang', 'jernih', 'semua', 'fasilitas', 'layan', 'yang', 'beri', 'pihak', 'hotel', 'jauh', 'kata', 'kecewa'];1
23;['nyaman', 'bersih', 'bed', 'empuk', 'nyaman', 'harga', 'tinggi', 'tidak', 'kopi', 'maker', 'kamar'];1
24;['bersih', 'nyaman', 'ac', 'dingin', 'dekat', 'pusat', 'kota'];1
25;['aku', 'sering', 'banget', 'inap', 'sini', 'harga', 'murah', 'kamar', 'nyaman', 'keren', 'deh', 'pokok'];1
26;['layan', 'ramah', 'hotel', 'bersih', 'cuma', 'waktu', 'pagi', 'bau', 'toilet', 'kamar', 'upgrade', 'suite', 'room', 'kena', 'charge', 'seluruh', 'bagus', 'rekomendasi'];1
27;['layan', 'sangat', 'ramah', 'mulai', 'cs', 'staf', 'sarap', 'meski', 'banyak', 'menu', 'rasa', 'makan', 'enak', 'timpal', 'budget', 'segitu'];1
28;['kamar', 'kecil', 'bersih', 'layan', 'cepat', 'tele', 'tele'];1
29;['saking', 'nyaman', 'hotel', 'panjang', 'waktu', 'inap', 'saya', 'sampai', 'kali', 'turut', 'turut'];1
30;['hotel', 'sangat', 'bersih', 'layan', 'beri', 'sangat', 'muas', 'bersih', 'kamar', 'hari', 'ke', 'hotel', 'istirahat', 'saya', 'beri', 'rasa', 'nyaman', 'kamar', 'wangi', 'rapi', 'design', 'interior', 'unik', 'tarik', 'harga', 'beri', 'hotel', 'beri', 'alam', 'inap', 'sangat', 'nyaman'];1
31;['sekian', 'kali', 'layan', 'hotel', 'senang', 'terima', 'kasih'];1
32;['alam', 'inap', 'hotel', 'sangat', 'senang', 'sangat', 'puas', 'sekali', 'nyaman', 'bersih', 'kamar'];1
33;['lokasi', 'strategis', 'tengah', 'kota', 'dekat', 'mana', 'tempat', 'makan', 'banyak', 'sekitar', 'hotel'];1
