;teks;label
0;['kolaborasi', 'seru', 'kineriamovie', 'angga', 'dwimas', 'sasongko', 'siap', 'garap', 'filosofi', 'kopi', 'http', 'www', 'kapanlagi', 'com', 'showbiz', 'film', 'indonesia', 'angga', 'dwimas', 'sasongko', 'siap', 'garap', 'filosofi', 'kopi', 'b', 'html', 'film', 'indonesia', 'anggiakharisma'];1
1;['wah', 'filosofi', 'kopi', 'sama', 'bagus', 'nya', 'lebih', 'mirles', 'anggasasongko', 'glennfredly', 'anggia', 'film', 'cahaya', 'timur', 'bagus', 'forum'];1
2;['rt', 'looohh', 'rio', 'dewanto', 'tonton', 'film', 'filosofi', 'kopi', 'the', 'movie', 'dapat', 'tahu', 'kopi', 'http', 'dlvrit', 'com', 'dxkb'];1
3;['jadi', 'mau', 'film', 'baru', 'asal', 'novel', 'judul', 'nya', 'filosofi', 'kopi', 'pokok', 'nya', 'aku', 'wajib', 'nonton'];1
4;['baca', 'sore', 'filosofi', 'film', 'eh', 'kopi', 'rt', 'candra', 'aditya', 'moral', 'harga', 'gue', 'dapat', 'film', 'filosofi', 'kopi', 'http', 'www', 'provoke', 'online', 'com', 'index', 'php', 'cand', 'ra', 'aditya', 'moral', 'berharga', 'yang', 'gue', 'dapatkan', 'dari', 'film', 'filosofi', 'kopi'];1
5;['filosofi', 'kopi', 'ben', 'jody', 'buat', 'gua', 'bukan', 'cuma', 'dar', 'film', 'dari', 'awal', 'gua', 'buka', 'jadi', 'punya', 'perhati', 'sangat', 'besar', 'industri', 'per', 'kopi', 'an', 'indonesia', 'www', 'instagram', 'com', 'p', 'bwfmrjvdjq'];1
6;['keren', 'keren', 'nih', 'main', 'film', 'filosofi', 'kopi', 'istimewa', 'nya', 'bisa', 'nikmat', 'screaning', 'film', 'nya', 'www', 'instagram', 'com', 'p', 'bwkehl', 'r'];1
7;['sekuel', 'filosofi', 'kopi', 'buat', 'tarik', 'nya', 'film', 'tidak', 'jebak', 'satu', 'lokasi', 'saja', 'juga', 'unjung', 'tempat', 'khusus', 'bal', 'yogyakarta', 'filosofikopi', 'www', 'instagram', 'com', 'p', 'bozxlaf'];1
8;['oke', 'tahun', 'baru', 'banyak', 'film', 'indonesia', 'bagus', 'pengin', 'nonton', 'filosofi', 'kopi'];1
9;['hilang', 'penasaran', 'sama', 'kopi', 'tiwus', 'kaya', 'film', 'nya', 'gitu', 'haha', 'at', 'filosofi', 'kopi', 'path', 'com', 'p', 'eizvm'];1
10;['udah', 'nonton', 'film', 'filosofi', 'kopi', 'afdol', 'kalau', 'ke', 'kafe', 'nya', 'langsung', 'w', 'tommy', 'at', 'filosofi', 'kopi', 'pic', 'path', 'com', 'p', 'lzyys'];1
11;['beda', 'beda', 'tipis', 'lah', 'ganteng', 'nya', 'akting', 'rio', 'bagus', 'banget', 'film', 'filosofi', 'kopi', 'kamu', 'nonton', 'instagram', 'com', 'p', 'ddatq'];1
12;['makasih', 'filosofi', 'kopi', 'film', 'hebat'];1
13;['filosofi', 'kopi', 'guru', 'bangsa', 'di', 'tonton', 'film', 'bagus', 'indonesia', 'nya', 'mau', 'tayang'];1
14;['gue', 'ga', 'terlalu', 'suka', 'film', 'indonesia', 'waktu', 'nonton', 'filosofi', 'kopi', 'keren', 'wajib', 'nonton', 'apalagi', 'cinta', 'kopi', 'cc', 'filkopmovie'];1
15;['rekomen', 'film', 'filosofi', 'kopi', 'keren', 'nonton', 'x', 'begini', 'with', 'mom', 'at', 'cema', 'path', 'com', 'p', 'dwwaj'];1
16;['hidup', 'gak', 'sempurna', 'begini', 'nya', 'filosofi', 'kopi', 'tiwus', 'keren', 'banget', 'film', 'nya', 'glennfredly'];1
17;['ayo', 'rt', 'maulidash', 'ayo', 'bitra', 'rt', 'kopiid', 'para', 'cinta', 'kopi', 'film', 'masuk', 'kategori', 'wajib', 'tonton', 'film', 'filosofi', 'kopi'];1
18;['selamat', 'kak', 'raffinagita', 'film', 'the', 'secret', 'suster', 'ngesot', 'urband', 'legend', 'film', 'nya', 'banyak', 'rasa', 'nya', 'lucu', 'baper', 'sedih', 'nonton', 'besok', 'april', 'bioskop', 'sayang', 'kamu', 'pic', 'twitter', 'com', 'wuwaiduoov'];1
19;['hasil', 'bikin', 'parno', 'danur', 'with', 'yusuf', 'at', 'cema', 'path', 'com', 'p', 'hote'];1
20;['haru', 'banget', 'menang', 'nonton', 'danur', 'sukses', 'buat', 'kak', 'prillybie', 'moga', 'tonton', 'www', 'instagram', 'com', 'p', 'bslrfjbqe'];1
21;['seru', 'bikin', 'ketawa', 'ngakak', 'wkwk', 'danur', 'with', 'yessa', 'rahadimas', 'and', 'others', 'at', 'cema', 'path', 'com', 'p', 'oyfmt'];1
22;['danur', 'maddah', 'danurmaddah', 'alami', 'tingkat', 'banyak', 'aspek', 'film', 'dahulu', 'nya', 'meski', 'tak', 'terlalu', 'istimewa', 'segi', 'cerita', 'awi', 'suryadi', 'tidak', 'nya', 'mampu', 'jaga', 'deret', 'jump', 'scares', 'film', 'agar', 'tetap', 'jalur', 'nya', 'tak', 'lenceng', 'jadi', 'murah', 'pic', 'twitter', 'com', 'jkjhvujcon'];1
23;['ke', 'x', 'nya', 'nonton', 'film', 'tetap', 'ga', 'bosan', 'dan', 'cek', 'toko', 'belah', 'w', 'baimbat', 'andika', 'at', 'cema', 'path', 'com', 'p', 'x'];1
24;['ke', 'nya', 'cinta', 'film', 'indonesia', 'buat', 'bagus', 'doang', 'cek', 'toko', 'belah', 'w', 'icha', 'abe', 'at', 'cema', 'path', 'com', 'p', 'kkzn'];1
25;['selesai', 'nonton', 'film', 'lucu', 'kocak', 'sedih', 'haru', 'cektokosebelah', 'www', 'instagram', 'com', 'p', 'bpftvszdkk'];1
