;teks;label
0;['minimal', 'aku', 'kabar', 'belum', 'bikin', 'rilis', 'soal', 'bocor', 'data', 'ya'];-1
1;['iya', 'memang', 'fitur', 'jual', 'milik', 'toko', 'fisik', 'biar', 'cantum', 'kontak', 'alamat', 'bebas', 'soal', 'duga', 'bocor', 'data', 'tokopedia', 'itu', 'data', 'publik', 'jual', 'via'];0
2;['duga', 'bocor', 'data', 'juta', 'langgan', 'tokopedia', 'jual', 'online'];0
3;['mungkin', 'jadi', 'bocor', 'data', 'guna', 'cc'];0
4;['tokopedia', 'ada', 'bocor', 'data', 'guna', 'data', 'sebat', 'data', 'umum'];1
5;['bagaimana', 'usaha', 'besar', 'tokopedia', 'data', 'bocor', 'gw', 'jadi', 'ragu', 'belanja', 'tokped'];-1
6;['dan', 'nggak', 'pasal', 'pidana', 'uu', 'ite', 'kena', 'masalah', 'bocor', 'data', 'konsumen'];-1
7;['duga', 'bocor', 'data', 'juta', 'langgan', 'jual', 'online', 'vivajika', 'konsekuensi', 'hukum', 'inscure', 'konsumen', 'cc'];0
8;['blm', 'itu', 'bocor', 'data', 'aja', 'seller', 'toko', 'tokped', 'yg', 'jual', 'transaksi', 'ditokped', 'jual', 'toko', 'dapat', 'informasi', 'beli', 'alamat', 'no', 'telp', 'utk', 'kirim', 'barang', 'aja', 'seller', 'yg', 'kumpul', 'data', 'dan', 'jual', 'bukan', 'brarti', 'system', 'tokped', 'bobol'];-1
9;['mungkin', 'seller', 'yg', 'nakal', 'jual', 'data', 'transksi', 'kan', 'seller', 'dpt', 'info', 'nama', 'alamat', 'no', 'telp', 'jadi', 'blm', 'bocor', 'data'];0
10;['sy', 'ambil', 'inisiatif', 'demi', 'aman', 'data', 'pribadi', 'agar', 'd', 'salh', 'guna', 'oknum', 'yg', 'tdk', 'brtanggung', 'jawab', 'sungguh', 'sy', 'sangat', 'sayang', 'kan', 'ketelediran', 'pihak', 'shingga', 'bocor', 'data', 'langgan'];-1
11;['min', 'cara', 'hapus', 'akun', 'tokped', 'gimana', 'sy', 'mau', 'hapus', 'ngeri', 'berita', 'tokped', 'bocor', 'data', 'kemarin'];-1
12;['mohon', 'info', 'sama', 'data', 'punya', 'akun', 'akun', 'yg', 'sama', 'dgn', 'data', 'data', 'yg', 'sama', 'pasti', 'akun', 'di', 'hack', 'org', 'bertanggungjawab', 'saya', 'akan', 'lapor', 'jika', 'memang', 'ada', 'bocor', 'data'];-1
13;['klaim', 'ada', 'sama', 'data', 'transaksi', 'yg', 'bingung', 'hanya', 'punya', 'akun', 'sudah', 'ikan', 'no', 'tlp', 'kontak', 'karena', 'nyata', 'jelas', 'lewat', 'tweet', 'abai', 'saya', 'hanya', 'jelas', 'perihal'];-1
14;['curiga', 'akun', 'di', 'yg', 'pakai', 'data', 'data', 'jadi', 'perlu', 'investigasi', 'rahasia', 'data', 'langgan', 'mutlak', 'wajib', 'jaga', 'ada', 'bocor', 'lapor', 'utk', 'ditindaklanjuti', 'mohon', 'kontak', 'langsung', 'utk', 'jelas'];-1
15;['akun', 'ovo', 'dipake', 'transaksi', 'tokopedia', 'akun', 'toped', 'orang', 'dan', 'ngga', 'lama', 'transaksi', 'toped', 'direfund', 'balik', 'akun', 'ovo', 'orang', 'ada', 'bocor', 'data'];-1
16;['dear', 'tokopedia', 'bagaimana', 'status', 'lapor', 'atas', 'bocor', 'data', 'cradit', 'card', 'belanja', 'tgl', 'april', 'kenapa', 'ada', 'transaksi', 'tsb', 'cradit', 'card', 'tokopedia', 'bisa', 'jaga', 'rahasia', 'data', 'customer', 'data', 'cc', 'saya', 'bisa', 'bocor'];-1
17;['actor', 'leaked', 'the', 'database', 'of', 'tokopedia', 'a', 'large', 'indonesian', 'technology', 'company', 'specializing', 'in', 'e', 'commerce', 'hack', 'occurred', 'in', 'march', 'and', 'affects', 'users', 'though', 'the', 'hacker', 'said', 'there', 'are', 'many', 'more', 'database', 'contains', 'emails', 'password', 'hashes', 'names'];0
18;['it', 'appears', 'that', 'millions', 'of', 'tokopedias', 'user', 'data', 'had', 'been', 'stolen', 'in', 'march', 'including', 'user', 'names', 'full', 'names', 'birth', 'dates', 'emails', 'passwords', 'and', 'more', 'the', 'hacker', 'claimed', 'that', 'they', 'have', 'much', 'more', 'than', 'million', 'accounts', 'from', 'the', 'breach'];0
19;['juta', 'data', 'guna', 'tokopedia', 'bocor', 'tokopedia', 'rundung', 'kabar', 'tak', 'sedap', 'belas'];0
20;['berita', 'tokopedia', 'bocor', 'data', 'buru', 'tarik', 'saldo'];-1
21;['turut', 'poin', 'paling', 'penting', 'ambil', 'data', 'leak', 'adalah', 'nama', 'lengkap', 'email', 'nomor', 'telepon', 'bocor', 'data', 'data', 'sangat', 'sensitif', 'nomor', 'telepon', 'dipake', 'buat', 'bajak', 'otp', 'sms', 'tgl', 'lahir', 'bisa', 'buat', 'nembus', 'tanya', 'aman'];0
22;['kuak', 'juta', 'data', 'guna', 'tokopediabocor'];0
23;['juta', 'data', 'guna', 'tokopedia', 'tuding', 'bocor'];0
24;['tokopedia', 'kabar', 'alami', 'masalah', 'aman', 'akibat', 'data', 'juta', 'guna', 'bocor'];0
25;['bas', 'juta', 'akun', 'tokopedia', 'bocor', 'dunia', 'maya', 'bagaimana'];-1
26;['segera', 'ganti', 'passwordnya', 'ini', 'bener', 'ga'];-1
27;['geger', 'duga', 'bocor', 'juta', 'data', 'pribadi', 'guna', 'tokopedia'];0
28;['guys', 'ngingetin', 'aja', 'ada', 'kasus', 'hacker', 'yg', 'jangkau', 'password', 'aman', 'data', 'pribadi', 'kalian', 'ubah', 'malem', 'ya', 'kalo', 'seluruh', 'password', 'kalian'];0
29;['untung', 'ga', 'pake', 'tokped'];-1
30;['udah', 'valid', 'bang', 'soal'];0
31;['wah', 'tumben', 'tumben'];-1
32;['serius', 'rem', 'iih'];-1
33;['punya', 'akun', 'tokped', 'terus', 'ngga', 'pernah', 'belanja', 'tokped', 'aman', 'ngga'];-1
34;['valid', 'bang', 'soal', 'nabung', 'reksadana', 'tokopedia', 'takut', 'jebol', 'nih'];-1
35;['security', 'kelas', 'tokped', 'dong', 'ke', 'bobol'];-1
36;['serius', 'bang'];0
37;['sebenernya', 'harus', 'ganti', 'password', 'akun', 'toped', 'semua', 'jenis', 'password', 'akun', 'sih', 'bang', 'bank', 'reksadana', 'sosmed', 'dllnya'];0
38;['banyak', 'juta', 'data', 'guna', 'tokopedia', 'tengara', 'bocor', 'usaha', 'e', 'commerce', 'besut', 'william', 'tanuwijaya', 'angkat', 'bicara', 'kena', 'sebut'];0
39;['well', 'sebenernya', 'yg', 'kalian', 'khawatir', 'bukan', 'password', 'nya', 'kalian', 'inget', 'alamat', 'lengkap', 'kalian', 'nomor', 'hp', 'alamat', 'email', 'rekening', 'kalian', 'sih', 'yg', 'kalian', 'khawatir', 'takut', 'yg', 'jebol', 'nunggu', 'konfirmasi', 'tokped', 'mending', 'antisipasi', 'sekarang'];-1
40;['ku', 'jadi', 'takut', 'yg', 'tadi', 'kamu', 'kirim'];-1
41;['kalo', 'udh', 'disconnect', 'msh', 'di', 'hack', 'ga', 'ak', 'login', 'pake', 'gmailll'];-1
42;['lama', 'pake', 'tokpedd', 'uninst', 'masih', 'aman'];-1
43;['here', 's', 'what', 'you', 'can', 'do', 'ubah', 'password', 'tokped', 'lo', 'sekarang', 'enable', 'fa', 'ubah', 'password', 'email', 'lo', 'sekarang', 'ubah', 'password', 'sosmed', 'yg', 'lo', 'pake', 'gue', 'saranin', 'logout', 'all', 'sessions', 'login', 'ulang', 'sekarang', 'jaga', 'aja', 'better', 'safe', 'than', 'sorry', 'kan'];-1
44;['better', 'safe', 'than', 'sorry', 'sih', 'emang', 'thank', 'you', 'info', 'bang', 'jadi', 'narik', 'akun', 'jenius', 'dulu', 'nunggu', 'statement', 'tokpednya'];-1
45;['udah', 'lupa', 'pw', 'tokped', 'sendiri', 'udah', 'diunistall', 'malah', 'aman'];-1
46;['anjirr'];-1
47;['ah', 'gila', 'merinding', 'aku', 'conectin', 'rek', 'tokped', 'karna', 'aku', 'ngelapak', 'sana', 'kira', 'aman', 'ga', 'aku', 'si', 'lg', 'gaada', 'aplikasi', 'udh', 'lama', 'ga', 'digunain', 'jg', 'semenjak', 'ganti', 'hp'];0
48;['untung', 'ga', 'main', 'tokopedia'];-1
49;['gaes', 'urgent', 'segera', 'ganti', 'password', 'akun', 'tokopedia', 'kalian', 'yaa', 'tokopedia', 'kena', 'bocor', 'data'];-1
50;['juta', 'data', 'pribadi', 'guna', 'bocor', 'begini', 'jawab', 'tokopedia'];0
51;['untung', 'makenya', 'shopee'];-1
52;['apa', 'kabar', 'yg', 'nyimpen', 'data', 'cc', 'tokped', 'aman'];-1
53;['udh', 'gk', 'ganti', 'pasword', 'malah', 'lgsg', 'luar', 'sndr'];0
54;['yg', 'bilang', 'dah', 'uninstall', 'tokped', 'terus', 'nanya', 'aman', 'apa', 'ga', 'jawab', 'gak', 'ini', 'data', 'langsung', 'ngambil', 'server', 'tokpednya', 'saran', 'gw', 'sih', 'ganti', 'pass', 'aja', 'akun'];-1
55;['ada', 'reksadana', 'gimana', 'tarik', 'aja', 'apa', 'gkusah', 'soal', 'kan', 'weekend'];0
56;['bener', 'gak', 'nih', 'bang'];-1
57;['kalau', 'gatau', 'cara', 'two', 'factor', 'authentication', 'nya', 'tokped', 'log', 'in', 'browser', 'hp', 'kalian', 'trus', 'paste', 'url', 'addressnya', 'pasti', 'no', 'hp', 'kalian', 'daftar', 'di', 'tokped', 'aktif', 'yah', 'lanjut'];0
58;['tokopedia', 'duga', 'retas', 'juta', 'data', 'guna', 'bocor'];0
59;['download', 'google', 'authenticator', 'masukin', 'email', 'tokped', 'kalian', 'masukin', 'angka', 'ada', 'halaman', 'tokped', 'buka', 'browser', 'ada', 'halaman', 'tokpednya', 'masukin', 'angka', 'kasih', 'sama', 'google', 'authenticator', 'halaman', 'tokped', 'two', 'factor', 'authenticator', 'kalian', 'sukses', 'deh'];0
60;['laku', 'yang', 'mitra', 'tokopedia', 'gak'];0
61;['bentar', 'dah', 'td', 'gue', 'lihat', 'email', 'gue', 'domain', 'akun', 'tokped', 'bukan', 'gmail', 'emang', 'dr', 'sana', 'apa', 'gimana'];-1
62;['hubung', 'gue', 'jarang', 'bgt', 'pake', 'tokped', 'td', 'gue', 'cek', 'sih', 'jd', 'helma', 'at', 'dumoac', 'dot', 'net', 'gitu', 'data', 'gue', 'kena', 'ga', 'si'];-1
63;['smaa', 'nih', 'panik', 'gimana'];-1
64;['sereeeem', 'allah', 'untung', 'w', 'pakenya', 'syopi'];-1
65;['masa', 'mesti', 'nunggu', 'sampe', 'hari', 'kerja'];-1
66;['juta', 'data', 'guna', 'tokopedia', 'informasi', 'bocor', 'daftar', 'email', 'password', 'bagi', 'korban'];0
67;['gk', 'cuman', 'gnti', 'password', 'sih', 'kan', 'email', 'verifikasi', 'langkah', 'tuh', 'nah', 'juga', 'diaktifin'];-1
68;['data', 'guna', 'tokopedia', 'bocor', 'semua', 'orang', 'saran', 'ganti', 'password', 'hello', 'everybody', 'ini', 'gak', 'sekadar', 'ganti', 'password', 'terus', 'urus', 'selesai', 'coba', 'tengok', 'foto', 'tweet', 'yg', 'rt', 'data', 'pribadi', 'dijembreng', 'file', 'txt', 'jangan', 'itu', 'data', 'pribadi'];-1
69;['holy', 'sh'];-1
70;['unsalted', 'password', 'hashes', 'apa', 'bener', 'tokopedia', 'gak', 'pake', 'salt', 'buat', 'passwordnya'];-1
71;['ihhh', 'rem'];-1
72;['walaupun', 'gak', 'pernah', 'belanja', 'tokped', 'data', 'diri', 'mbak', 'yg', 'dalem', 'akun', 'nya', 'tetep', 'simpan', 'di', 'database', 'nya', 'tokped', 'itu', 'yg', 'jadi', 'sasar'];-1
73;['barusan', 'dapet', 'info', 'beberapa', 'orang', 'punya', 'koneksi', 'bidang', 'infosec', 'kata', 'passwordnya', 'ter', 'salt', 'data', 'valid', 'kalo', 'bicara', 'seperti', 'breachernya', 'dapet', 'semua', 'data', 'saltnya', 'moga', 'beneran', 'dan', 'moga', 'toped', 'klarifikasi', 'segera'];-1
74;['konsekuensi', 'kalo', 'ter', 'salt', 'password', 'cukup', 'aman', 'lebih', 'sulit', 'jebol', 'guna', 'rainbow', 'table', 'sekarang', 'arti', 'tinggal', 'siap', 'diri', 'bocor', 'data', 'pribadi', 'massal', 'akan', 'legenda', 'deh'];-1
75;['oalah', 'pantesan', 'dr', 'kemarin', 'dapet', 'sms', 'verifikasi', 'trs', 'padahal', 'blm', 'download', 'tokped', 'huh'];-1
76;['ngeri', 'ah'];-1
77;['punya', 'ga', 'ndang', 'ubah'];0
78;['klow', 'lama', 'gk', 'pake', 'kata', 'sandi', 'gmana'];0
79;['allah', 'baru', 'bikin', 'akun', 'tokped', 'padahal'];-1
80;['gue', 'barusan', 'ganti', 'password', 'abis', 'ganti', 'password', 'tokped', 'kayak', 'down', 'gitu'];-1
81;['gua', 'oubya', 'apk', 'tokped', 'gua', 'gak', 'pernah', 'login', 'tiba', 'udah', 'login', 'nama', 'gua', 'nomor', 'gua', 'tp', 'ini', 'jual', 'barang', 'paham', 'gak', 'maksud', 'gua', 'email', 'nya', 'bukan', 'email', 'gua', 'alamat', 'jg', 'diri', 'to', 'bukan', 'rumah', 'gua', 'yg', 'dulu'];-1
82;['syukur', 'gua', 'setia', 'ama', 'shopee', 'bukalapak', 'ga', 'pernh', 'blnja', 'akun', 'hijau', 'nih', 'hehe'];-1
83;['udah', 'gw', 'ganti', 'password', 'udah', 'aman'];-1
84;['cara', 'mau', 'hapus', 'akun', 'gimanaa'];-1
85;['gw', 'lebih', 'ngeri', 'personal', 'data', 'nya', 'damn'];-1
86;['walopun', 'gk', 'punya', 'cc', 'kalo', 'yg', 'punya', 'toko', 'kyknya', 'cukup', 'masalah', 'rawan', 'curi', 'saldo'];-1
87;['done', 'kalo', 'ovo', 'ganti', 'password', 'gak', 'mas'];-1
88;['ada'];-1
89;['takut', 'kelas', 'tokped', 'aja', 'sampe', 'jt', 'gimana', 'shopee', 'takut', 'merambaah'];-1
90;['login', 'pake', 'nomer', 'tp', 'pas', 'ganti', 'password', 'udah', 'sukses', 'keluar', 'apps', 'pas', 'masuk', 'malah', 'bikin', 'akun', 'baru', 'gimana', 'ak', 'ga', 'paham'];-1
91;['wow', 'salut', 'yg', 'retas', 'database', 'hash', 'tokped', 'ti', 'ati'];-1
92;['yg', 'punya', 'reksadana', 'bahaya', 'dong'];-1
93;['mana', 'sana', 'invest', 'emas', 'data', 'gimana', 'tuh', 'aman', 'gak'];-1
94;['biarin', 'aja', 'mending'];-1
95;['ganti', 'semua', 'password', 'usahain', 'passwordnya', 'pake', 'huruf', 'angka', 'besar', 'kecil', 'spesial', 'karakter'];-1
96;['bener', 'sih', 'om', 'bocor', 'data', 'pribadi', 'paling', 'penting', 'karna', 'bakal', 'kena', 'smua', 'aspek', 'depan'];-1
97;['juta', 'data', 'guna', 'tokopedia', 'informasi', 'bocor', 'daftar', 'email', 'password', 'bagi', 'korban', 'henti', 'resah', 'rakyat', 'utama', 'nya', 'guna', 'di', 'audit', 'timgab', 'platform', 'dukung', 'kuasa', 'kalok', 'gak', 'salah'];0
98;['tokopedia', 'leaked', 'the', 'database', 'thread', 'semua', 'mula', 'twit', 'ane', 'temen', 'ane', 'lgsung', 'cari', 'jelas', 'info', 'cek', 'forum', 'langsung', 'nyata', 'sang', 'actor', 'jual', 'file', 'yg', 'risi', 'database', 'yg', 'leaked', 'jt', 'data', 'harga', 'eur'];-1
99;['tokped', 'si', 'cuma', 'gapernah', 'pake'];0
100;['kalau', 'bingung', 'berapa', 'besar', 'impact', 'tokopedia', 'hack', 'aman', 'cyber', 'indonesia', 'guna', 'internet', 'indonesia', 'juta', 'database', 'tokopedia', 'juta', 'database', 'kalian', 'bocor', 'kalau', 'banding', 'seluruh', 'duduk', 'indonesia', 'arti'];-1
101;['ati', 'ati', 'tokopedia', 'kok', 'kata', 'kawan', 'bocor', 'data'];-1
102;['kalau', 'bener', 'data', 'tokped', 'bocor', 'email', 'password', 'baik', 'ganti', 'password', 'email', 'yg', 'daftar', 'tokopedia', 'sekarang', 'yg', 'pertama', 'coba', 'siapa', 'tahu', 'password', 'email', 'password', 'tokped', 'sama', 'sering', 'kali', 'sama', 'email', 'kena', 'semua', 'kena', 'hehe'];-1
103;['salt', 'bro', 'data', 'bom', 'decrypt'];-1
104;['gimana', 'nih'];-1
