teks;label
hilang barang lupa kulkas hubung hotel tidak respon;0
hotel letak daerah pencil jalan sempit  tidak bawa mobil sewa mobil sopir ;0
check innya banget  kamar  book jauh  kamar sempit banget  sarap pagi  jam lauk tinggal dikit ;0
kali keluarga inap viva hotel  inap kali kecewa ruang kamar sempit dbanding inap ;0
pilih kamar kamar mandi lantai  kamar mandi gayung air  sulit bab buang air siram  kasih tau tugas resepsionis ;0
kamar tidak kedap suara  suara sangar dengar berisik  kemarin kamar ballroom acara  berisik ganggu istirahat;0
sarap jam   siang wilayah jakarta aktivitas   tidak nasi  orang indonesia ;0
oke  housekeepingnya  makeup room jam pagi malam bersihin  bilang kamar prioritas aneh oke ;0
makan oke banget  lengkap menu  handuk keset tidak langsung sedia kamar   pintu kamar mandi seret buka tutup ;0
jalur masuk kamar labirin sempit  makan pagi tidak suka anak  parkir sempit ;0
kamar oke  sayang pas dateng langsung masuk kamar alas blm selesai beres  jam siang ;0
enak banget  hotel letak pusat kota  bioskop tinggal  pokok sip deh inap ;0
tempat bagus bersih harga murah tidak kecewa  jalan masuk m jalan masuk check in malam gelap  strategis  ac dingin ;0
edisi inap kali  kamar tidak kedap suara  tenang istirahat  ganggu suara acara hotel ;0
resepsionis peduli bangun pagi pergi skouw  batas ri-png   ambil sarap  layan bagus ;0
senang  perhati tamu iseng  jam malam jam  pagi bel kamar mainin  ganggu org tidur aja ;0
sudut kamar kotor  kamar lembab  air panas tidak fungsi  kirain rusak  baca review    inap tidak bagi hotel  makan sih  harga standar makan tidak  compare hotel harga murah neo makan enak  kamar mandi  gelas bekas gitu tata gelas tidak ganti  moga improve sesuai  hotel mall  istirahat sih nyaman berisik ;0
check-in tunggu stengah jam prepare kamar   sementara check-out nya on time   lebih sih;0
tiga kamar pesan  kamar mandi air wastafel kloset kotor warna kuning  air shower tidak panas  normal  menu makan breakfast ;0
tidak banget sempit tidak masuk mobil  kos-kosan  masuk mukim warga  tidak inap kondisi nya tidak tinggal  tdnya rencana inap area meeting  urung niat inap situ;0
layan hotel  aman parkir hotel buruk  helm motor hilang hotel bintang ;0
lampu redup  air panas tidak fungsi  lampu mati  semut kamar ;0
kamar kotor  bau apek  air shower kran tidak jalan  kali pindah kamar air tidak jalan  jalan sebentar kotor hitam bau  nyamuk tidak recommended stay sana  ;0
kecewa  air panas tidak  complain resepsionis alas teknisi saran mandi kamar ;0
fasilitas kamar  sarap bersih tangan thd piring  gelas meja lamban ;0
lokasi strategis  kamar bagus  bersih  tombol lampu rusak  letak shower rusak mohon baik  selimut bercak kotor ganti ;0
pesan kamar toilet  ac susah atur temperatur suka mati timernya tidak reset  tidak air panas  posisi ac langsung nembak kasur  sarap roti  lokasi blok m;0
lokasi strategis  kamar sempit ukur bed yg queen  makan pagi roti croissant  kopi  teh sbux  just it ;0
bagus sih hotel  cuman tunggu pas check in masuk hotel jam jam masuk kamar  sarap pagi tidak pilih  ;0
alat rusak  kamar debu  kamar mandi bau  closetnya binatang cacing ;0
kamar bersih  channel tv  wifi tidak  breakfast parah makan mini market;0
coffe  tea kamar semut  kamar bau rokok ganti sprei  selimut pusing tidur  berisik suara kamar orang kerja dengar  buka jendela tidak view  langsung gudang liat tumpu karpet ;0
kamar bersih  kamar  plaffon kamar mandi bolong  spertinya orang intip mandi ;0
lokasi pusat kota  stasiun bandung  malam lapar hotel warung makan buka jam   minimarket jam ;0
hotel berisik ruanganan tidak kedap suara  lorong gelap seram  lift kamar kamar;0
desain kamar sih oke  sempit banget  pilih makan dikit  ngeselin wifi nya putus ;0
kamar tidak kedap suara  tamu dengar kamar breakfastnya pilih;0
no comment  biar bintang arti  kritik saran security sigap tamu masuk hotel ;0
kamar sempit  air keruh warna kuning  suara dengar kamar  jam  check-in  tunggu jam  masuk kamar  tugas jaga ramah  tidak senyum;0
bagus kecuali staff restaurant staff cashier layan pd bill butuh menit  pas bayar nunggu kembali butuh menit aja makan sana ;0
bagus  strategi  pilih tinggal;0
ex mal paksa hotel  aneh layoutnya  interior  bersih  breakfast pilih  shower kamar mandi pelan  lokasi bagus  ballroom sewa acara reuni sd  suara musik kamar  jam  org lalang suara keras koridor ;0
alir air shower nya tidak lancar  lantai wc licin  ac bocor dingin  listrik kamar kali mati cabut kartu nyala lokasi strategis pinggir jalan ;0
houskeepingnya payah  handuk bekas tidak ambil teh kopi with compliment tidak lengkap  chef omlet jutek;0
coba tidur ukur raja penuh arried  check-in  toilet pintu sulit tutup lantai kotor handuk tua  tidak rencana tinggal;0
hotel tidak buruk  kamar tidak jendela  lokasi takut  tidak anjur pergi anak;0
lokasi hotel pusat kota  hotel security tidak angkat koper tangga hotel lumayan  lorong hotel gelap  kamar mandi blower mati  malam dengar suara tikus plafon hotel  shock  moga milik alam;0
kamar mandi bersih  tidak jendela kamar hotel kelas tsb  serasa kamar kunci ;0
layan muas  remote tv rusak tidak ganti  air sower mandi air westafel  ac tidak dingin;0
 ramai tinggal acara  menu sarap selera  menu habis jam pagi  kamar-bijaksana  tidak apa  harap  ;0
tahun coba hotel  kemaren parah  kondisi kamar kecewa beda  jorok  komplain ganti kamar kabul  lumayan mending ganti ;0
sen kamar double room  diksh kamar tidak sesuai pesan  buku menu masakan tidak  setrika tidak pas telefon antar kamar gak antar chekout  kamar kotor debu   kecewa ;0
masuk kamar bau lembab tempat bersih  tidak sirkulasi udara air kamar mandi coklat kotor  tidak rekomendasi rate harga hotel kualitas kecewa ;0
renovasi hotel berisik  tidak infoin aplikasi online kolam renang air kotor renovasi hotel ;0
lumayan bagus  spot-spotnya  area private unjung luar tamu hotel masuk  lebih oke ;0
masuk kamat bau rokok  kamar bagus kasih bau rokok  makan ;0
