;teks;label
0;['kepingin', 'gudeg', 'mbarek', 'bu', 'hj', 'amad', 'foto', 'google', 'sengaja', 'biar', 'teman', 'jg', 'bayang', 'bagi', 'indah'];1
1;['sharing', 'alam', 'aja', 'kemarin', 'jam', 'batalin', 'tiket', 'stasiun', 'pasar', 'senen', 'lancar', 'antri', 'terlalu', 'rame', 'menit', 'beress', 'semua', 'mungkin', 'coba', 'twips', 'jam', 'segitu', 'cc'];1
2;['sharing', 'sama', 'temen', 'tuh', 'emg', 'bgt', 'saat', 'lu', 'ngerasa', 'masalah', 'lu', 'berat', 'bgt', 'nyata', 'temen', 'sendiri', 'punya', 'masalah', 'lebih', 'berat', 'dr', 'kita', 'malah', 'masalah', 'ngga', 'apa', 'nya', 'banding', 'masalah', 'dia'];1
3;['sangat', 'syukur', 'doa', 'kakek', 'bung', 'karno', 'sama', 'anak', 'yatim', 'piatu', 'bulanbungkarno', 'junibulanbungkarno', 'penyambunglidahrakyatindonesia', 'nomor', 'untukjatim', 'jatimpilihgusipulputi', 'kabehsedulurkabehmakmur', 'h'];1
4;['sempat', 'yg', 'pernah', 'hadir', 'tuk', 'buat', 'selalu', 'rasa', 'aman', 'nyaman', 'kini', 'jadi', 'suatu', 'hormat', 'yg', 'pernah', 'dapat'];1
5;['h', 'mau', 'bank', 'rame', 'bgt', 'ampe', 'antri', 'tempat', 'duduk', 'luar', 'toko', 'emas', 'luber', 'ampe', 'ga', 'liat', 'mbak', 'nya', 'yg', 'jual', 'swalayan', 'antri', 'kasir', 'naudzubilah', 'panjang', 'bener', 'bahagia', 'semua', 'kayak', 'moga', 'moga', 'rs', 'sepi', 'pasien', 'sembuh', 'pulang', 'utk', 'bahagia'];1
6;['aku', 'senyum', 'bukan', 'arti', 'hidup', 'sempurna', 'aku', 'syukur', 'apa', 'aku', 'punya', 'apa', 'yg', 'tuhan', 'ikan', 'ku'];1
7;['kan', 'peluk', 'engkau', 'erat', 'hingga', 'tak', 'orang', 'yang', 'rebut', 'mu', 'peluk', 'ku', 'anniversary', 'syg', 'nov', 'months'];1
8;['sukses', 'n', 'keren', 'banget', 'dgn', 'no', 'kualitas', 'bhn', 'krja', 'itu', 'cita', 'pu', 'waris', 'ampe', 'cu', 'sukses', 'tims', 'bbpjn', 'barokah', 'limpah'];1
9;['akhir', 'akan', 'lewat', 'semua', 'ini', 'semua', 'dulu', 'bayang', 'betapa', 'sulit', 'lalu', 'juga', 'akhir', 'hanya', 'ajar', 'ajar', 'ajar', 'petik', 'semua', 'hikmah', 'bisa', 'petik', 'siap', 'depan'];1
