teks;;;label
oh nyata pocong pakai siri ;;;-1
 nyamuk datang lah ada tanggal lah kakak ponti kacau cadar itu lah pocong lompat atas trampoline itu lah ;;;-1
 foto awkarin jadi poconggak sambung;;;0
 maklum kalau pocong banyak tanya kan di kubur sendiri jadi butuh ramai ;;;0
benar aku tak larat sangat deh ini tapi sebab cerita pocong itu aku gigih cari kawan ;;;1
 takut orang kelas pakai video poling alias pocong keliling;;;-1
 starinfo wah ada pocong pakai kain kafan merk off white masa breaktime forgreatmusic ;;;1
 aing sampai lupa dulu apa sampai blok pocong wkwkwkwdiblok rtz gegara flaming wkwkw;;;-1
 pocong karena hantu lokal terus kalo aku mau tidur aku suka ngebayangin guling aku jadi pocong t cowok hszep e hO;;;1
sikile tali pocong jal ;;;0
 kenapa yang muncul malah pocong ya ily deh cong ;;;-1
weh pocong beistifar ;;;0
oke mimpi lihat pocong depan muka dan teriak kayak cewek ajg padahal kalo diinget ingat pocong kayak familiar muka tapi kenapa teriak ;;;1
ajar dari pocong dari dulupakaiannya itu itu saja hidup sederhana ;;;1
 enggak mayat itu sudah bungkus jadi pocong nah pocong loncat ;;;0
masuk dan tonton live pocong p ramal di bigolive ;;;0
 jalan t tiati jalan awas ada pocong prikitiew ;;;-1
arief muhammad panggil pocong ;;;0
 lagi pikir kalo pocong jalan bagaimana soal bosan lihat pocong loncat saja;;;-1
 pocong karena jalan lompat doi cocok jadi atlet lompat indah wkq;;;1
 poconglucu kayak guling;;;0
 terus ini pocong ngerekamnya bagaimana ;;;0
ingat banget waktu itu gue tuduh minta belikan kacamata ke mamak gue padahal yaallah sumpah pocong gue berani gue beli ;;;1
rt haduhhh ini anak kasihan banget bikin prank jadi pocong pocong pas di datengin tim teman teman pada kabur dia gabis;;;-1
ini tonton yang prank pocong kocak benar kasihan yang jadi pocong tinggal kabur sama teman teman teman pada kabur dia gabis;;;-1
 pocong muka doang yang keliatann yang jadi pocong tinggal kabur sama teman teman teman pada kabur dia gabis;;;-1
pocong ba sama followers siap dengan verified badge lagi ;;;1
 ngahaha pocong rambut;;;0
 siang siang kok ada pocong ;;;-1
rt daramang cuu nurutan pocong ah dek comeback kak dunia pertwitteran;;;0
daramang cuu nurutan pocong ah dek comeback kak dunia pertwitteran;;;0
 pocong karena kalo mati gue bakal di buat kayak begitu ;;;-1
 pocong mumun bisa wkwk;;;0
 kamu pernah tonton pocong mumun enggak itu dia bisa terbang;;;0
 arpi pocong pink ;;;0
 seram pocong terbang tinggi juga;;;-1
pocong bisa terbang enggak sih ;;;0
 pocong yang enggak nya tiga itulho hantu kini bisa jadi selebtwit baru comeback sudah buat endorse ;;;0
 ini kak flat yang ada pocong itu ;;;0
